,0,1,2
632,83948,-29.35027777,-49.71666666
633,83950,-29.43,-51.95
634,83951,-29.97,-51.13
635,83953,-30.842617,-55.613073
636,83954,-29.869757,-51.379201
637,83955,-29.88,-54.78
638,83956,-30.98,-54.67
639,83957,-30.33,-54.32
640,83959,-30.52,-53.48
641,83960,-30.06999999,-51.21999999
642,83961,-29.677684,-51.049914
643,83963,-30.02999999,-52.87999999
644,83964,-30.54305555,-52.52472221
645,83966,-30.83,-51.58
646,83967,-30.05361111,-51.17472221
647,83968,-30.08,-50.78
648,83972,-29.448748,-51.799035
649,83976,-30.87,-53.12
650,83978,-30.80805555,-51.83416666
651,83980,-31.30555555,-54.11944443
652,83983,-31.43,-53.1
653,83985,-31.78333333,-52.41666666
654,83992,-32.55,-53.38
655,83994,-32.15,-52.1
656,83995,-32.078809,-52.167725
657,83997,-33.53166666,-53.35027777
